"app name","APK","occurrences"
"cube block - woody puzzle game","com.puzzle.pool.android","6425"
"bus times -live public transit","com.mobispector.bustimes","6370"
"brain test: tricky puzzles","com.unicostudio.braintest","6325"
"travel town - merge adventure","io.randomco.travel","6277"
"wood block - puzzle games","com.block.puzzle.free.wood","6160"
"motorcycle real simulator","com.cerebelliumapps.motoextremeracing","6152"
"nonogram - jigsaw puzzle game","com.yunbu.nonogram.puzzle","6133"
"bounce merge","com.bounce.ball2048","6075"
"memory color - paint by number","com.mintgames.memorycolor","6053"
"1010! block puzzle game","com.gramgames.tenten","6014"
"words of wonders: crossword","1369521645","6004"
"sudoku game - daily puzzles","com.gamovation.sudoku","5972"
"bus jam - color car puzzle","com.abi.busjam.sortpuzzle","5966"
"solitaire: card games","com.solitaire.patience.klondike.classic.card.games","5965"
"find the cat - spot it!","com.ventogames.findthecat","5940"
"nonogram color - logic puzzle","com.easybrain.nonogram.color","5932"
"bubble shooter family","com.bubble.shooter.family","5931"
"sudoku.com","com.easybrain.sudoku.android","5867"
"サンデーうぇぶり","jp.co.shogakukan.sunday_webry","5859"
"regenradar mit unwetterwarnung","de.wetteronline.regenradar","5849"
"paper.io 2","io.voodoo.paper2","5837"
"logic puzzles - brain riddles","com.easybrain.cross.logic.puzzle","5796"
"bubble pop! cannon shooter","com.bubblepop.cannon.puzzle","5775"
"hole.io","io.voodoo.holeio","5765"
"flightradar24 flight tracker","com.flightradar24free","5717"
"tinder dating app: chat & date","com.tinder","5706"
"spider solitaire: card games","com.mobilityware.spider","5679"
"picture builder - puzzle game","com.hitappsgames.picturebuilder","5641"
"bricks n balls","com.peoplefun.bricksnballs","5536"
"horse life","com.philipeetienne.stableslife","5494"
"avakin life - 3d virtual world","com.lockwoodpublishing.avakinlife","5400"
"spider solitaire","com.brainium.spiderfree","5370"
"9now","542088539","5368"
"everyday puzzles: mini games","com.fanatee.keep","5303"
"dream league soccer 2024","com.firsttouchgames.dls7","5244"
"phase 10: world tour","com.mattel163.phase10","5207"
"solitaire - classic card games","beetles.puzzle.solitaire","5198"
"disassembly master","com.dcjnmed.jifqq","5191"
"master hospital","6473776287","5190"
"daily themed crossword puzzles","in.crossy.daily_crossword","5177"
"vpn proxy master - safer vpn","free.vpn.unblock.proxy.vpn.master.pro","5147"
"drill and collect – idle mine","tr.com.apps.drill.and.collect","5124"
"tap color pro: color by number","coloring.color.number.happy.paint.art.drawing.puzzle","5122"
"flashscore","766443283","5091"
"offline games - no wifi games","com.jindoblu.offlinegames","5085"
"cryptogram letters and numbers","com.crypt.gram.puzz","5064"
"colorwood sort puzzle game","games.burny.color.sort.woody.puzzle","5059"
"grand truck simulator 2","com.pulsar.grandtrucksimulator2","5028"
"stuff sort - sorting master","onetap.game.good.sort","4991"
"screw away: 3d pin puzzle","com.screw.away.pin.puzzle.and","4987"
"listonic: grocery list app","com.l","4984"
"number match - logic puzzle game","com.easybrain.number.puzzle.game","4971"
"color water sort woody puzzle","com.no1ornothing.color.water.sort.woody.puzzle","4945"
"car real simulator","com.cagames.racing.real.speed.cars.drive","4927"
"vita solitaire for seniors","com.vitastudio.solitaire","4883"
"dominoes master: classic game","com.playvalve.dominoes","4875"
"9now","au.com.mi9.jumpin.app","4869"
"hidden folks: scavenger hunt","com.mystery.hidden.objects.find.clue.puzzle.games.free","4852"
"hexa sort","6463127238","4755"
"tetris®","com.n3twork.tetris","4748"
"wordscapes","1207472156","4741"
"top eleven be a soccer manager","eu.nordeus.topeleven.android","4720"
"solitaire hd - card games","com.easyfun.solitaire","4704"
"solitaire daily: card game","solitaire.card.games.klondike.free.patience.classic.challenge","4694"
"jaumo dating app: chat & date","com.jaumo","4682"
"jigsaw puzzles","com.bigcake.jigsaw.puzzles","4659"
"hidden objects - the journey","1673457778","4650"
"paint by number coloring game","1420058690","4604"
"tvsmiles - quiz and prizes","de.tvsmiles.app","4603"
"tile dynasty: triple mahjong","com.tripledot.tile.dynasty","4586"
"wood nuts & bolts puzzle","com.wood.nut.and.bolts.puzzle","4586"
"tile dreams - relaxing puzzle","com.forcegames.tiledreams","4580"
"tiledom - matching puzzle","games.spearmint.triplecrush","4573"
"domino - dominos online game","ru.skillcap.dominoes","4530"
